"code","product_name","brands","categories","pnns_groups_1","labels","countries_en","quantity","url","ingredients_text","allergens","traces","nutriscore_grade","nutriscore_score","energy_100g","fat_100g","saturated-fat_100g","carbohydrates_100g","sugars_100g","fiber_100g","proteins_100g","salt_100g","nova_group","image_url","image_small_url","image_ingredients_url","image_ingredients_small_url","image_nutrition_url"
"264","corn bread","Bofrost","multi vitaminico","unknown","","Canada","","http://world-en.openfoodfacts.org/product/00000264/corn-bread-bofrost","","","","C","6.0","389.1","2.29999995231628","1.39999997615814","13.3000001907349","2.20000004768372","1.10000002384186","4.30000019073486","1.2","","https://images.openfoodfacts.org/images/products/invalid/front_en.13.400.jpg","https://images.openfoodfacts.org/images/products/invalid/front_en.13.200.jpg","https://images.openfoodfacts.org/images/products/invalid/ingredients_it.17.400.jpg","https://images.openfoodfacts.org/images/products/invalid/ingredients_it.17.200.jpg","https://images.openfoodfacts.org/images/products/invalid/nutrition_it.21.400.jpg"
"2475","Soupe aux poireaux et lentilles à la française","","Plats préparés, Soupes","Composite foods","","Canada","","http://world-en.openfoodfacts.org/product/00002475/soupe-aux-poireaux-et-lentilles-a-la-francaise","","","","D","12.0","1510.9","1.3888888888889","0.0","63.888888888889","8.3333333333333","25.0","22.222222222222","2.2916666666667","","https://images.openfoodfacts.org/images/products/000/000/000/2475/front_fr.3.400.jpg","https://images.openfoodfacts.org/images/products/000/000/000/2475/front_fr.3.200.jpg","","","https://images.openfoodfacts.org/images/products/000/000/000/2475/nutrition_fr.5.400.jpg"
"2775","Formula 1","Herbalife,Balance","Meals, Dietary supplements, Meal replacements","Composite foods","No gluten","Canada","780.0 g","http://world-en.openfoodfacts.org/product/00002775/formula-1-herbalife","Soy Protein Isolate, Fructose, Cellulose Powder, Corn Bran, Cocoa Powder, Guar Gum, Coffee Powder, Potassium Chloride, Calcium Phosphate, Casein, Calcium Caseinate, Natural and Artificial Flavours, Rice Fiber, Soy Lecithin, Canola Oil, Beta Carotene, Medium Chain Triglycerides, Maltodextrin, Carrageenan, DL-Methionine, Inulin, Magnesium Oxide, Silicon Dioxide, Gum Arabic, Psyllium Husk Powder, Ginger Root Powder, Proteases Derived from Aspergillus niger and Aspergillus oryzae, Honey Powder, Citrus Pectin, Ascorbic Acid, DL-Alpha Tocopheryl Acetate, Propylene Glycol, Pomegranate Powder, Papaya Fruit Powder, Blueberry Powder, Biotin, Niacinamide, Ferrous Fumarate, Zinc Oxide, Copper Gluconate, Calcium D-Pantothenate, Bromelain, Papain Powder, Cyanocobalamin, Natural Flavour, Cholecalciferol, Folic Acid, Pyridoxine Hydrochloride, Thiamine Mononitrate, Riboflavin, Chromium Chloride, Sodium Molybdate, Sodium Selenite.","en:soybeans","","A","","1447.7","3.85","0.0","50.0","34.6","11.5","34.6","0.913","4.0","https://images.openfoodfacts.org/images/products/000/000/000/2775/front_en.3.400.jpg","https://images.openfoodfacts.org/images/products/000/000/000/2775/front_en.3.200.jpg","https://images.openfoodfacts.org/images/products/000/000/000/2775/ingredients_en.5.400.jpg","https://images.openfoodfacts.org/images/products/000/000/000/2775/ingredients_en.5.200.jpg","https://images.openfoodfacts.org/images/products/000/000/000/2775/nutrition_en.7.400.jpg"
"3082","Broccoli","","en:broccoli","Fruits and vegetables","","Canada","","http://world-en.openfoodfacts.org/product/00003082/broccoli-none","Broccoli","","","","","142.3","0.4","","6.5","","","3.0","0.075","1.0","https://images.openfoodfacts.org/images/products/000/000/000/3082/front_en.3.400.jpg","https://images.openfoodfacts.org/images/products/000/000/000/3082/front_en.3.200.jpg","","",""
"3118","Pears General","","Aliments et boissons à base de végétaux, Aliments d'origine végétale, Aliments à base de fruits et de légumes, Fruits et produits dérivés, Fruits, Compléments alimentaires, Fruits frais, Poires, Poires fraîches","Fruits and vegetables","Sans gluten","Canada,United States","","http://world-en.openfoodfacts.org/product/00003118/pears-general-none","pea protein (43.5%), fructose, safflower oil, inulin, thickeners (guar gum, xanthan caraghennes gum, pectin), calcium citrate, but, emulsifier (sunflower lecithin), l-methionine, rapeseed oil, magnesium oxide, sodium chloride, l-ascorbic acid, beta-carotene, dl-alpha-tocopherol acetate, blueberry juice powder, potassium phosphate pomegranate juice, aromas, charge agent (microcristalline cellulose) , iron fumarate, nicotinamide, parsley powder, papaya powder, zinc oxide, calcium d-pantotherate, manganese carbonate, copper citrate, cyanocobalamine, cholecalciferol, pyridoxine chloride, thiamine chloride riboflavin, pteroylmonoglutamic acid, potassium iodure, sodium selenite, d-biotine r","","","D","16.0","422.6","0.3","1.6","27.0","26.0","12.0","0.6","2.5","4.0","https://images.openfoodfacts.org/images/products/000/000/000/3118/front_en.35.400.jpg","https://images.openfoodfacts.org/images/products/000/000/000/3118/front_en.35.200.jpg","https://images.openfoodfacts.org/images/products/000/000/000/3118/ingredients_fr.7.400.jpg","https://images.openfoodfacts.org/images/products/000/000/000/3118/ingredients_fr.7.200.jpg","https://images.openfoodfacts.org/images/products/000/000/000/3118/nutrition_fr.10.400.jpg"
"3283","Honeycrisp Apple","","Plant-based foods and beverages, Plant-based foods, Fruits and vegetables based foods, Fruits based foods, Fruits, Apples, Fresh fruits, Fresh apples","Fruits and vegetables","","Canada,United States","160.0 g","http://world-en.openfoodfacts.org/product/00003283/honeycrisp-apple","honeycrisp apple","","","D","15.0","218.4","0.165","0.0549","13.7","10.4","2.42","0.275","2.47","","https://images.openfoodfacts.org/images/products/000/000/000/3283/front_en.12.400.jpg","https://images.openfoodfacts.org/images/products/000/000/000/3283/front_en.12.200.jpg","","","https://images.openfoodfacts.org/images/products/000/000/000/3283/nutrition_en.18.400.jpg"
"332233343","Sweet Envy","","Aliments et boissons à base de végétaux, Aliments d'origine végétale, Aliments à base de fruits et de légumes","unknown","","Canada","","http://world-en.openfoodfacts.org/product/0000332233343/sweet-envy","","","","","","150.4","0.0","0.0","9.0909090909091","6.7653276955603","0.0","0.84566596194503","","","https://images.openfoodfacts.org/images/products/000/033/223/3343/front_fr.3.400.jpg","https://images.openfoodfacts.org/images/products/000/033/223/3343/front_fr.3.200.jpg","","","https://images.openfoodfacts.org/images/products/000/033/223/3343/nutrition_fr.5.400.jpg"
"3507","Cosmic Crisp Apple","","Plant-based foods and beverages, Plant-based foods, Fruits and vegetables based foods, Fruits based foods, Fruits, Apples, Fresh fruits, Fresh apples","Fruits and vegetables","","Canada,United States","225.0 g","http://world-en.openfoodfacts.org/product/00003507/cosmic-crisp-apple","Cosmic Crisp apple","","","","","217.6","0.2","","14.0","","","0.2","","","https://images.openfoodfacts.org/images/products/000/000/000/3507/front_en.9.400.jpg","https://images.openfoodfacts.org/images/products/000/000/000/3507/front_en.9.200.jpg","","",""
"380101772","Roasted Chicken + Herb Flavour Collagen Bone Broth","Isagenix","Meals, Soups, Soup mixes","Composite foods","No gluten, No GMOs, No soy","Canada","210.0 g","http://world-en.openfoodfacts.org/product/0000380101772/roasted-chicken-herb-flavour-collagen-bone-broth-isagenix","Hydrolyzed bovine collagen, Bovine broth protein, Natural flavours, Guar gum, Acacia gum, Xanthan gum, Pink himalayan salt, Silicon dioxide, Onion powder, Black pepper, Garlic powder, Ascorbic acid","en:milk","","E","27.0","1343.1","7.14","0.0","14.3","14.3","0.0","57.1","7.32","4.0","https://images.openfoodfacts.org/images/products/000/038/010/1772/front_en.7.400.jpg","https://images.openfoodfacts.org/images/products/000/038/010/1772/front_en.7.200.jpg","https://images.openfoodfacts.org/images/products/000/038/010/1772/ingredients_en.12.400.jpg","https://images.openfoodfacts.org/images/products/000/038/010/1772/ingredients_en.12.200.jpg","https://images.openfoodfacts.org/images/products/000/038/010/1772/nutrition_en.5.400.jpg"
"380101788","Chocolate IsaPro Plant-Based Protein","Isagenix","Dietary supplements, Bodybuilding supplements, Protein powders","unknown","No gluten, Vegetarian, No artificial flavors, No artificial sweeteners, Vegan, No artificial colors, No artificial colours or flavours, No artificial flavourings or sweeteners, No soy","Canada","969.0 g","http://world-en.openfoodfacts.org/product/0000380101788/chocolate-isapro-plant-based-protein-isagenix","Protein comples (pea protein concentrate, brown rice protein concentrate), Cocoa powder, Medium-chain triglyceride oil powder, Sugars (fructose), Natural flavours, Xanthan gum, Sea salt, Stevia (stevia rebaudiana) leaf extract, Cinnamon.","","","D","15.0","1569.0","9.38","6.25","15.6","3.12","6.25","56.2","1.72","4.0","https://images.openfoodfacts.org/images/products/000/038/010/1788/front_en.8.400.jpg","https://images.openfoodfacts.org/images/products/000/038/010/1788/front_en.8.200.jpg","https://images.openfoodfacts.org/images/products/000/038/010/1788/ingredients_en.10.400.jpg","https://images.openfoodfacts.org/images/products/000/038/010/1788/ingredients_en.10.200.jpg","https://images.openfoodfacts.org/images/products/000/038/010/1788/nutrition_en.14.400.jpg"
